Units Sold,Available Books in the shelf,Price,Week,NewYear,MLK,Presidents,GoodFriday,Memorial,Independence,Labor,Thanksgiving,Christmas,BookCode
6187.0,10146.68,14.4745433974462,2019-01-06,1,0,0,0,0,0,0,0,0,22722
9123.0,15144.18,14.1745040008769,2018-01-07,1,0,0,0,0,0,0,0,0,22722
6236.0,8356.24,14.1500962155227,2019-01-13,0,0,0,0,0,0,0,0,0,22722
8080.0,11312.0,14.0782178217821,2018-01-14,0,0,0,0,0,0,0,0,0,22722
5695.0,7289.6,14.2382791922739,2019-01-20,0,0,0,0,0,0,0,0,0,22722
7429.0,9509.12,13.7892044689729,2018-01-21,0,1,0,0,0,0,0,0,0,22722
5633.0,8449.5,13.7791585300905,2019-01-27,0,1,0,0,0,0,0,0,0,22722
6455.0,10650.75,14.2938807126258,2018-01-28,0,0,0,0,0,0,0,0,0,22722
6068.0,9951.52,13.6821028345418,2019-02-03,0,0,0,0,0,0,0,0,0,22722
6644.0,11294.8,14.2655027092113,2018-02-04,0,0,0,0,0,0,0,0,0,22722
6270.0,9969.3,14.0987240829346,2019-02-10,0,0,0,0,0,0,0,0,0,22722
7163.0,8810.49,14.0065614965796,2018-02-11,0,0,0,0,0,0,0,0,0,22722
6071.0,6556.68,14.1691648822269,2019-02-17,0,0,0,0,0,0,0,0,0,22722
6754.0,9590.68,13.7574770506366,2018-02-18,0,0,0,0,0,0,0,0,0,22722
6415.0,8724.4,13.6626656274356,2019-02-24,0,0,1,0,0,0,0,0,0,22722
6535.0,7319.2,13.595103289977,2018-02-25,0,0,1,0,0,0,0,0,0,22722
7100.0,8804.0,13.5436619718309,2019-03-03,0,0,0,0,0,0,0,0,0,22722
6294.0,9252.18,13.6769939625039,2018-03-04,0,0,0,0,0,0,0,0,0,22722
6394.0,7225.22,14.0670941507663,2019-03-10,0,0,0,0,0,0,0,0,0,22722
5839.0,8816.89,14.2988525432437,2018-03-11,0,0,0,0,0,0,0,0,0,22722
5673.0,7204.71,14.2351489511722,2019-03-17,0,0,0,0,0,0,0,0,0,22722
5287.0,5657.09,14.3690183468885,2018-03-18,0,0,0,0,0,0,0,0,0,22722
5824.0,6930.56,12.9041895604395,2019-03-24,0,0,0,0,0,0,0,0,0,22722
4857.0,7091.22,14.1270331480337,2018-03-25,0,0,0,0,0,0,0,0,0,22722
4841.0,7358.32,14.2375542243338,2019-03-31,0,0,0,0,0,0,0,0,0,22722
4597.0,7217.29,13.9116815314335,2018-04-01,0,0,0,1,0,0,0,0,0,22722
5162.0,5678.2,14.0269275474622,2019-04-07,0,0,0,0,0,0,0,0,0,22722
4838.0,8031.08,13.6727986771393,2018-04-08,0,0,0,0,0,0,0,0,0,22722
4543.0,7314.23,14.0917895663658,2019-04-14,0,0,0,0,0,0,0,0,0,22722
4577.0,6133.18,13.5735197727769,2018-04-15,0,0,0,0,0,0,0,0,0,22722
4610.0,5485.9,14.1566160520607,2019-04-21,0,0,0,1,0,0,0,0,0,22722
4311.0,7328.7,13.7919276270006,2018-04-22,0,0,0,0,0,0,0,0,0,22722
4329.0,6406.92,14.3344883344883,2019-04-28,0,0,0,0,0,0,0,0,0,22722
4215.0,7081.2,13.6690391459074,2018-04-29,0,0,0,0,0,0,0,0,0,22722
4790.0,5604.3,14.3716075156576,2019-05-05,0,0,0,0,0,0,0,0,0,22722
4413.0,6928.41,13.3593927033763,2018-05-06,0,0,0,0,0,0,0,0,0,22722
4518.0,7409.52,14.5418326693227,2019-05-12,0,0,0,0,0,0,0,0,0,22722
4235.0,6183.1,13.0984651711924,2018-05-13,0,0,0,0,0,0,0,0,0,22722
4374.0,5861.16,14.233196159122,2019-05-19,0,0,0,0,0,0,0,0,0,22722
3894.0,4205.52,13.4327170005136,2018-05-20,0,0,0,0,0,0,0,0,0,22722
4257.0,4554.99,14.6767676767676,2019-05-26,0,0,0,0,0,0,0,0,0,22722
3990.0,4827.9,13.281954887218,2018-05-27,0,0,0,0,0,0,0,0,0,22722
4090.0,5971.4,14.1911980440097,2019-06-02,0,0,0,0,1,0,0,0,0,22722
4034.0,5365.22,13.0899851264253,2018-06-03,0,0,0,0,1,0,0,0,0,22722
4367.0,6725.18,14.100068697046,2019-06-09,0,0,0,0,0,0,0,0,0,22722
4170.0,6380.1,13.0371702637889,2018-06-10,0,0,0,0,0,0,0,0,0,22722
3733.0,4516.93,14.3187784623627,2019-06-16,0,0,0,0,0,0,0,0,0,22722
3693.0,6167.31,13.2556187381532,2018-06-17,0,0,0,0,0,0,0,0,0,22722
3718.0,4944.94,14.0831091984938,2019-06-23,0,0,0,0,0,0,0,0,0,22722
